Customer ID,Total Amount,Quantity,Age,Cluster
CUST001,150,3,34.0,0
CUST002,1000,2,26.0,1
CUST003,30,1,50.0,0
CUST004,500,1,37.0,0
CUST005,100,2,30.0,0
CUST006,30,1,45.0,0
CUST007,50,2,46.0,0
CUST008,100,4,30.0,0
CUST009,600,2,63.0,0
CUST010,200,4,52.0,0
CUST011,100,2,23.0,0
CUST012,75,3,35.0,0
CUST013,1500,3,22.0,1
CUST014,120,4,64.0,0
CUST015,2000,4,42.0,2
CUST016,1500,3,19.0,1
CUST017,100,4,27.0,0
CUST018,50,2,47.0,0
CUST019,50,2,62.0,0
CUST020,900,3,22.0,1
CUST021,500,1,50.0,0
CUST022,100,2,18.0,0
CUST023,120,4,35.0,0
CUST024,300,1,49.0,0
CUST025,50,1,64.0,0
CUST026,1000,2,28.0,1
CUST027,50,2,38.0,0
CUST028,500,1,43.0,0
CUST029,30,1,42.0,0
CUST030,900,3,39.0,1
CUST031,1200,4,44.0,1
CUST032,90,3,30.0,0
CUST033,100,2,50.0,0
CUST034,150,3,51.0,0
CUST035,900,3,58.0,1
CUST036,900,3,52.0,1
CUST037,75,3,18.0,0
CUST038,200,4,38.0,0
CUST039,120,4,23.0,0
CUST040,50,1,45.0,0
CUST041,50,2,34.0,0
CUST042,900,3,22.0,1
CUST043,300,1,48.0,0
CUST044,25,1,22.0,0
CUST045,30,1,55.0,0
CUST046,1200,4,20.0,1
CUST047,1500,3,40.0,1
CUST048,900,3,54.0,1
CUST049,1000,2,54.0,1
CUST050,75,3,27.0,0
CUST051,75,3,27.0,0
CUST052,300,1,36.0,0
CUST053,100,2,34.0,0
CUST054,1500,3,38.0,1
CUST055,120,4,31.0,0
CUST056,900,3,26.0,1
CUST057,30,1,63.0,0
CUST058,1200,4,18.0,1
CUST059,50,1,62.0,0
CUST060,150,3,30.0,0
CUST061,200,4,21.0,0
CUST062,100,2,18.0,0
CUST063,50,2,57.0,0
CUST064,100,4,49.0,0
CUST065,2000,4,51.0,2
CUST066,30,1,45.0,0
CUST067,1200,4,48.0,1
CUST068,300,1,25.0,0
CUST069,75,3,56.0,0
CUST070,300,1,43.0,0
CUST071,100,4,51.0,0
CUST072,2000,4,20.0,2
CUST073,90,3,29.0,0
CUST074,2000,4,18.0,2
CUST075,200,4,61.0,0
CUST076,100,2,22.0,0
CUST077,100,2,47.0,0
CUST078,1500,3,47.0,1
CUST079,300,1,34.0,0
CUST080,60,2,64.0,0
CUST081,50,1,40.0,0
CUST082,200,4,32.0,0
CUST083,100,2,54.0,0
CUST084,90,3,38.0,0
CUST085,150,3,31.0,0
CUST086,90,3,19.0,0
CUST087,100,2,28.0,0
CUST088,500,1,56.0,0
CUST089,2000,4,55.0,2
CUST090,30,1,51.0,0
CUST091,500,1,55.0,0
CUST092,120,4,51.0,0
CUST093,2000,4,35.0,2
CUST094,1000,2,47.0,1
CUST095,60,2,32.0,0
CUST096,600,2,44.0,0
CUST097,1000,2,51.0,1
CUST098,100,2,55.0,0
CUST099,1200,4,50.0,1
CUST100,30,1,41.0,0
CUST1000,120,4,47.0,0
CUST101,600,2,32.0,0
CUST102,50,2,47.0,0
CUST103,25,1,59.0,0
CUST104,1000,2,34.0,1
CUST105,500,1,22.0,0
CUST106,50,1,46.0,0
CUST107,1200,4,21.0,1
CUST108,75,3,27.0,0
CUST109,2000,4,34.0,2
CUST110,900,3,27.0,1
CUST111,1500,3,34.0,1
CUST112,1500,3,37.0,1
CUST113,50,2,41.0,0
CUST114,100,4,22.0,0
CUST115,1500,3,51.0,1
CUST116,30,1,23.0,0
CUST117,1000,2,19.0,1
CUST118,2000,4,30.0,2
CUST119,150,3,60.0,0
CUST120,50,1,60.0,0
CUST121,200,4,28.0,0
CUST122,120,4,64.0,0
CUST123,60,2,40.0,0
CUST124,2000,4,33.0,2
CUST125,100,2,48.0,0
CUST126,90,3,28.0,0
CUST127,50,2,33.0,0
CUST128,500,1,25.0,0
CUST129,600,2,21.0,0
CUST130,500,1,57.0,0
CUST131,600,2,21.0,0
CUST132,200,4,42.0,0
CUST133,900,3,20.0,1
CUST134,50,1,49.0,0
CUST135,50,2,20.0,0
